day,barri,category,impact,description
2023-04-23,el Poble-sec,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,el Poblenou,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,el Putxet i el Farró,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,el Raval,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,el Turó de la Peira,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,l'Antiga Esquerra de l'Eixample,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Barceloneta,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Bordeta,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Clota,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Dreta de l'Eixample,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Font d'en Fargues,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Font de la Guatlla,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Guineueta,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Marina de Port,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Marina del Prat Vermell,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Maternitat i Sant Ramon,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Nova Esquerra de l'Eixample,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Prosperitat,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Sagrada Família,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Sagrera,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Salut,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Teixonera,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Trinitat Nova,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Trinitat Vella,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Vall d'Hebron,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Verneda i la Pau,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Vila Olímpica del Poblenou,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,la Vila de Gràcia,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,les Corts,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,les Roquetes,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-23,les Tres Torres,Traditional Festival,5,Diada de Sant Jordi 2023
2023-04-28,el Poble-sec,Concert/Music Festival,5,Bruce Springsteen Concert (Estadi Olímpic)
2023-04-29,Les Corts,Sporting Event,3,La Liga - FC Barcelona vs Real Betis (Jornada 32)
2023-04-30,el Poble-sec,Concert/Music Festival,5,Bruce Springsteen Concert (Estadi Olímpic)
2023-05-02,Les Corts,Sporting Event,3,La Liga - FC Barcelona vs Osasuna (Jornada 33)
2023-05-07,"Sant Pere, Santa Caterina i la Ribera",Sporting Event,3,Cursa El Corte Inglés 2023
2023-05-07,el Barri Gòtic,Sporting Event,3,Cursa El Corte Inglés 2023
2023-05-07,l'Antiga Esquerra de l'Eixample,Sporting Event,3,Cursa El Corte Inglés 2023
2023-05-07,la Dreta de l'Eixample,Sporting Event,3,Cursa El Corte Inglés 2023
2023-05-07,la Nova Esquerra de l'Eixample,Sporting Event,3,Cursa El Corte Inglés 2023
2023-05-20,Les Corts,Sporting Event,3,La Liga - FC Barcelona vs Real Sociedad (Jornada 35)
2023-05-24,el Poble-sec,Concert/Music Festival,5,Coldplay Concert (Estadi Olímpic) - Night 1
2023-05-25,el Poble-sec,Concert/Music Festival,5,Coldplay Concert (Estadi Olímpic) - Night 2
2023-05-27,el Poble-sec,Concert/Music Festival,5,Coldplay Concert (Estadi Olímpic) - Night 3
2023-05-28,Les Corts,Sporting Event,3,La Liga - FC Barcelona vs Mallorca (Jornada 37)
2023-05-28,el Poble-sec,Concert/Music Festival,5,Coldplay Concert (Estadi Olímpic) - Night 4
2023-05-31,Diagonal Mar i el Front Marítim del Poblenou,Concert/Music Festival,5,Primavera Sound 2023 - Day 1
2023-05-31,el Besòs i el Maresme,Concert/Music Festival,5,Primavera Sound 2023 - Day 1
2023-06-01,Diagonal Mar i el Front Marítim del Poblenou,Concert/Music Festival,5,Primavera Sound 2023 - Day 2
2023-06-01,el Besòs i el Maresme,Concert/Music Festival,5,Primavera Sound 2023 - Day 2
2023-06-02,Diagonal Mar i el Front Marítim del Poblenou,Concert/Music Festival,5,Primavera Sound 2023 - Day 3
2023-06-02,el Besòs i el Maresme,Concert/Music Festival,5,Primavera Sound 2023 - Day 3
2023-06-03,Diagonal Mar i el Front Marítim del Poblenou,Concert/Music Festival,5,Primavera Sound 2023 - Day 4
2023-06-03,el Besòs i el Maresme,Concert/Music Festival,5,Primavera Sound 2023 - Day 4
2023-06-04,Diagonal Mar i el Front Marítim del Poblenou,Concert/Music Festival,5,Primavera Sound 2023 - Closing
2023-06-04,el Besòs i el Maresme,Concert/Music Festival,5,Primavera Sound 2023 - Closing
2023-06-08,el Poble-sec,Concert/Music Festival,5,Beyoncé Concert (Estadi Olímpic)
2023-06-15,el Poble-sec,Concert/Music Festival,4,Sónar Festival 2023 - Day 1
2023-06-15,la Marina del Prat Vermell,Concert/Music Festival,4,Sónar Festival 2023 - Day 1
2023-06-16,el Poble-sec,Concert/Music Festival,4,Sónar Festival 2023 - Day 2
2023-06-16,la Marina del Prat Vermell,Concert/Music Festival,4,Sónar Festival 2023 - Day 2
2023-06-17,el Poble-sec,Concert/Music Festival,4,Sónar Festival 2023 - Day 3
2023-06-17,la Marina del Prat Vermell,Concert/Music Festival,4,Sónar Festival 2023 - Day 3
2023-07-05,Diagonal Mar i el Front Marítim del Poblenou,Concert/Music Festival,3,Festival Cruïlla 2023 - Day 1
2023-07-05,el Besòs i el Maresme,Concert/Music Festival,3,Festival Cruïlla 2023 - Day 1
2023-07-06,Diagonal Mar i el Front Marítim del Poblenou,Concert/Music Festival,3,Festival Cruïlla 2023 - Day 2
2023-07-06,el Besòs i el Maresme,Concert/Music Festival,3,Festival Cruïlla 2023 - Day 2
2023-07-07,Diagonal Mar i el Front Marítim del Poblenou,Concert/Music Festival,3,Festival Cruïlla 2023 - Day 3
2023-07-07,el Besòs i el Maresme,Concert/Music Festival,3,Festival Cruïlla 2023 - Day 3
2023-07-08,Diagonal Mar i el Front Marítim del Poblenou,Concert/Music Festival,3,Festival Cruïlla 2023 - Day 4
2023-07-08,el Besòs i el Maresme,Concert/Music Festival,3,Festival Cruïlla 2023 - Day 4
2023-07-12,el Poble-sec,Concert/Music Festival,5,Harry Styles Concert (Estadi Olímpic)
2023-07-20,el Poble-sec,Concert/Music Festival,5,The Weeknd Concert (Estadi Olímpic)
2023-07-22,Diagonal Mar i el Front Marítim del Poblenou,Concert/Music Festival,3,Reggaeton Beach Festival 2023 - Day 1
2023-07-22,el Besòs i el Maresme,Concert/Music Festival,3,Reggaeton Beach Festival 2023 - Day 1
2023-07-23,Diagonal Mar i el Front Marítim del Poblenou,Concert/Music Festival,3,Reggaeton Beach Festival 2023 - Day 2
2023-07-23,el Besòs i el Maresme,Concert/Music Festival,3,Reggaeton Beach Festival 2023 - Day 2
2023-08-08,el Poble-sec,Sporting Event,2,Trofeo Joan Gamper - FC Barcelona vs Tottenham Hotspur (Final)
2023-08-20,el Poble-sec,Sporting Event,3,La Liga - FC Barcelona vs Cádiz (Jornada 2)
2023-09-11,Hostafrancs,Traditional Festival,3,La Diada Nacional de Catalunya 2023 (Pl. Espanya focus)
2023-09-11,la Font de la Guatlla,Traditional Festival,3,La Diada Nacional de Catalunya 2023 (Pl. Espanya focus)
2023-09-11,la Nova Esquerra de l'Eixample,Traditional Festival,3,La Diada Nacional de Catalunya 2023 (Pl. Espanya focus)
2023-09-16,el Poble-sec,Sporting Event,3,La Liga - FC Barcelona vs Real Betis (Jornada 5)
2023-09-19,el Poble-sec,Sporting Event,4,UEFA Champions League - FC Barcelona vs Royal Antwerp (Jornada 1)
2023-09-22,Baró de Viver,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Can Baró,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Can Peguera,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Canyelles,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Ciutat Meridiana,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Diagonal Mar i el Front Marítim del Poblenou,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Horta,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Hostafrancs,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Montbau,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Navas,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Pedralbes,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Porta,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Provençals del Poblenou,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Sant Andreu,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Sant Antoni,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Sant Genís dels Agudells,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Sant Gervasi - Galvany,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Sant Gervasi - la Bonanova,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Sant Martí de Provençals,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,"Sant Pere, Santa Caterina i la Ribera",Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Sants,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Sants - Badal,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Sarrià,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Torre Baró,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Vallbona,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Vallcarca i els Penitents,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,"Vallvidrera, el Tibidabo i les Planes",Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Verdun,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,Vilapicina i la Torre Llobeta,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,el Baix Guinardó,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,el Barri Gòtic,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,el Besòs i el Maresme,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,el Bon Pastor,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,el Camp d'en Grassot i Gràcia Nova,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,el Camp de l'Arpa del Clot,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,el Carmel,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,el Clot,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,el Coll,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,el Congrés i els Indians,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,el Fort Pienc,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,el Guinardó,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,el Parc i la Llacuna del Poblenou,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,el Poble-sec,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,el Poblenou,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,el Putxet i el Farró,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,el Raval,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,el Turó de la Peira,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,l'Antiga Esquerra de l'Eixample,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Barceloneta,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Bordeta,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Clota,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Dreta de l'Eixample,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Font d'en Fargues,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Font de la Guatlla,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Guineueta,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Marina de Port,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Marina del Prat Vermell,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Maternitat i Sant Ramon,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Nova Esquerra de l'Eixample,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Prosperitat,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Sagrada Família,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Sagrera,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Salut,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Teixonera,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Trinitat Nova,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Trinitat Vella,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Vall d'Hebron,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Verneda i la Pau,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Vila Olímpica del Poblenou,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,la Vila de Gràcia,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,les Corts,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,les Roquetes,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-22,les Tres Torres,Traditional Festival,4,La Mercè 2023 - Day 1
2023-09-23,Baró de Viver,Traditional Festival,4,La Mercè 2023 - Day 2
2023-09-23,Can Baró,Traditional Festival,4,La Mercè 2023 - Day 2
2023-09-23,Can Peguera,Traditional Festival,4,La Mercè 2023 - Day 2
2023-09-23,Canyelles,Traditional Festival,4,La Mercè 2023 - Day 2
2023-09-23,Ciutat Meridiana,Traditional Festival,4,La Mercè 2023 - Day 2
2023-09-23,Diagonal Mar i el Front Marítim del Poblenou,Traditional Festival,4,La Mercè 2023 - Day 2
2023-09-23,Horta,Traditional Festival,4,La Mercè 2023 - Day 2
2023-09-23,Hostafrancs,Traditional Festival,4,La Mercè 2023 - Day 2
2023-09-23,Montbau,Traditional Festival,4,La Mercè 2023 - Day 2
2023-09-23,Navas,Traditional Festival,4,La Mercè 2023 - Day 2
2023-09-23,Pedralbes,Traditional Festival,4,La Mercè 2023 - Day 2
2023-09-23,Porta,Traditional Festival,4,La Mercè 2023 - Day 2
2023-09-23,Provençals del Poblenou,Traditional Festival,4,La Mercè 2023 - Day 2
2023-09-23,Sant Andreu,Traditional Festival,4,La Mercè 2023 - Day 2
2023-09-23,Sant Antoni,Traditional Festival,4,La Mercè 2023 - Day 2
2023-09-23,Sant Genís dels Agudells,Traditional Festival,4,La Mercè 2023 - Day 2
2023-09-23,Sant Gervasi - Galvany,Traditional Festival,4,La Mercè 2023 - Day 2
2023-09-23,Sant Gervasi - la Bonanova,Traditional Festival,4,La Mercè 2023 - Day 2
2023-09-23,Sant Martí de Provençals,Traditional Festival,4,La Mercè 2023 - Day 2
